Series Code,Series Name,Short definition,Topic
DT.COM.DPPG.CD,"Commitments, public and publicly guaranteed (COM, current US$)","Commitments are the total amount of long-term loans for which contracts were signed in the year specified; data for private nonguaranteed debt are not available. Long-term external debt is defined as debt that has an original or extended maturity of more than one year and that is owed to nonresidents by residents of an economy and repayable in currency, goods, or services. Data are in current U.S. dollars.",Economic Policy & Debt: External debt: Commitments
DT.DOD.ALLC.ZS,Concessional debt (% of total external debt),Concessional debt to total external debt stocks. Concessional debt is defined as loans with an original grant element of 35 percent or more.,Economic Policy & Debt: External debt: Debt ratios & other items
DT.CUR.OTHC.ZS,"Currency composition of PPG debt, all other currencies (%)",The percentage of external long-term public and publicly-guaranteed debt contracted in all other currencies not specified for the low- and middle-income countries.,Economic Policy & Debt: External debt: Currency composition
DT.CUR.DMAK.ZS,"Currency composition of PPG debt, Deutsche mark (%)",The percentage of external long-term public and publicly-guaranteed debt contracted in Deutsche marks for the low- and middle-income countries.,Economic Policy & Debt: External debt: Currency composition
DT.CUR.EURO.ZS,"Currency composition of PPG debt, Euro (%)",The percentage of external long-term public and publicly-guaranteed debt contracted in Euros for the low- and middle-income countries.,Economic Policy & Debt: External debt: Currency composition
DT.CUR.FFRC.ZS,"Currency composition of PPG debt, French franc (%)",The percentage of external long-term public and publicly-guaranteed debt contracted in French francs for the low- and middle-income countries.,Economic Policy & Debt: External debt: Currency composition
DT.CUR.JYEN.ZS,"Currency composition of PPG debt, Japanese yen (%)",The percentage of external long-term public and publicly-guaranteed debt contracted in Japanese yen for the low- and middle-income countries.,Economic Policy & Debt: External debt: Currency composition
DT.CUR.MULC.ZS,"Currency composition of PPG debt, Multiple currencies (%)",The percentage of external long-term public and publicly-guaranteed debt contracted in multiple currencies for the low- and middle-income countries.,Economic Policy & Debt: External debt: Currency composition
DT.CUR.UKPS.ZS,"Currency composition of PPG debt, Pound sterling (%)",The percentage of external long-term public and publicly-guaranteed debt contracted in U.K. pound sterling for the low- and middle-income countries.,Economic Policy & Debt: External debt: Currency composition
DT.CUR.SDRW.ZS,"Currency composition of PPG debt, SDR (%)",The percentage of external long-term public and publicly-guaranteed debt contracted in special drawing rights for the low- and middle-income countries.,Economic Policy & Debt: External debt: Currency composition
DT.CUR.SWFR.ZS,"Currency composition of PPG debt, Swiss franc (%)",The percentage of external long-term public and publicly-guaranteed debt contracted in Swiss francs for the low- and middle-income countries.,Economic Policy & Debt: External debt: Currency composition
DT.CUR.USDL.ZS,"Currency composition of PPG debt, U.S. dollars (%)",The percentage of external long-term public and publicly-guaranteed debt contracted in U.S. dollars for the low- and middle-income countries.,Economic Policy & Debt: External debt: Currency composition
BN.CAB.XOKA.CD,Current account balance (current US$),"Current account balance shows the difference between the sum of exports and income receivable and the sum of imports and income payable (exports and imports refer to both goods and services, while income refers to both primary and secondary income).",Economic Policy & Debt: Balance of payments: Current account: Balances
DT.DSB.DPPG.CD,Debt buyback (current US$),"Debt buyback is the repurchase by a debtor of its own debt, discounted or at par. In the event of a buyback of long-term debt, the face value of the debt bought back will be recorded as a decline in the long-term debt stock, and the cash amount received by creditors will be recorded as a principal repayment. Data are in current U.S. dollars.","Economic Policy & Debt: External debt: Arrears, reschedulings, etc."
DT.DOD.MDRI.CD,Debt forgiveness grants (current US$),Debt forgiveness grants data cover both debt cancelled by agreement between debtor and creditor and a reduction in the net present value of non-ODA debt achieved by concessional rescheduling or refinancing. The  data are on a disbursement basis and cover flows from all bilateral and multilateral donors. Data are in current U.S. dollars.,Economic Policy & Debt: Official development assistance
DT.DFR.DPPG.CD,Debt forgiveness or reduction (current US$),Debt forgiveness or reduction shows the change in debt stock due to debt forgiveness or reduction. It is derived by subtracting debt forgiven and debt stock reduction from debt buyback. Data are in current U.S. dollars.,"Economic Policy & Debt: External debt: Arrears, reschedulings, etc."
DT.TDS.DECB.CD,"Debt service on external debt, central bank (PPG) (TDS, current US$)","Central bank  debt service is the sum of principal repayments and interest actually paid in currency, goods, or services on long-term obligations of public debtors and long-term private obligations guaranteed by a public entity. The central bank is the financial institution (or institutions) that exercises control over key aspects of the financial system. The monetary authority, normally the agency that issues currency and holds the countrys international reserves. Data are in current U.S. dollars.",Economic Policy & Debt: External debt: Debt service
DT.TDS.DEGG.CD,"Debt service on external debt, general government sector (PPG) (TDS, current US$)","General government  debt service is the sum of principal repayments and interest actually paid in currency, goods, or services on long-term obligations of public debtors and long-term private obligations guaranteed by a public entity. Data are in current U.S. dollars.",Economic Policy & Debt: External debt: Debt service
DT.TDS.DLXF.CD,"Debt service on external debt, long-term (TDS, current US$)","Debt service payments are the sum of principal repayments and interest payments actually made in the year specified. Long-term external debt is defined as debt that has an original or extended maturity of more than one year and that is owed to nonresidents by residents of an economy and repayable in currency, goods, or services. Data are in current U.S. dollars.",Economic Policy & Debt: External debt: Debt service
DT.TDS.DOPS.CD,"Debt service on external debt, other public sector (PPG) (TDS, current US$)","Other public sector debt service is the sum of principal repayments and interest actually paid in currency, goods, or services on long-term obligations of public debtors and long-term private obligations guaranteed by a public entity. Data are in current U.S. dollars.",Economic Policy & Debt: External debt: Debt service
DT.TDS.PRPG.CD,"Debt service on external debt, private guaranteed by public sector (PPG) (TDS, current US$)","Private sector guaranteed by Public Sector debt service is the sum of principal repayments and interest actually paid in currency, goods, or services on long-term obligations of public debtors and long-term private obligations guaranteed by a public entity. Data are in current U.S. dollars.",Economic Policy & Debt: External debt: Debt service
DT.TDS.DPNG.CD,"Debt service on external debt, private nonguaranteed (PNG) (TDS, current US$)","Private nonguaranteed debt service is an external obligation of a private debtor that is not guaranteed for repayment by a public entity. Debt service payments are the sum of principal repayments and interest payments actually made in the year specified. Long-term external debt is defined as debt that has an original or extended maturity of more than one year and that is owed to nonresidents by residents of an economy and repayable in currency, goods, or services. Data are in current U.S. dollars.",Economic Policy & Debt: External debt: Debt service
DT.TDS.DPPG.CD,"Debt service on external debt, public and publicly guaranteed (PPG) (TDS, current US$)","Public and publicly guaranteed debt service is the sum of principal repayments and interest actually paid in currency, goods, or services on long-term obligations of public debtors and long-term private obligations guaranteed by a public entity. Data are in current U.S. dollars.",Economic Policy & Debt: External debt: Debt service
DT.TDS.DEPS.CD,"Debt service on external debt, public sector (PPG) (TDS, current US$)","Public sector debt service is the sum of principal repayments and interest actually paid in currency, goods, or services on long-term obligations of public debtors and long-term private obligations guaranteed by a public entity. Data are in current U.S. dollars.",Economic Policy & Debt: External debt: Debt service
DT.TDS.DECT.CD,"Debt service on external debt, total (TDS, current US$)","Total debt service is the sum of principal repayments and interest actually paid in currency, goods, or services on long-term debt, interest paid on short-term debt, and repayments (repurchases and charges) to the IMF. Data are in current U.S. dollars.",Economic Policy & Debt: External debt: Debt service
DT.DSF.DPPG.CD,Debt stock reduction (current US$),"Debt stock reductions show the amount that has been netted out of the stock of debt using debt conversion schemes such as buybacks and equity swaps or the discounted value of long-term bonds that were issued in exchange for outstanding debt. It includes the effect of any financial operation that will reduce the debt stock other than debt stock restructuring, repayment of principal and debt forgiven. In particular, debt stock reduction will include the face value of debt bought back, the face value of debt swapped for equity (or ""nature"" or ""development""), any face value reduction that might result as the consequence of a bond exchange, and any face value reduction resulting from an exchange of debt for discount bonds. Data are in current U.S. dollars.","Economic Policy & Debt: External debt: Arrears, reschedulings, etc."
DT.DXR.DPPG.CD,Debt stock rescheduled (current US$),Debt stocks rescheduled is the amount of debt outstanding rescheduled in any given year. Data are in current U.S. dollars.,"Economic Policy & Debt: External debt: Arrears, reschedulings, etc."
DT.DIS.DECB.CD,"Disbursements on external debt, central bank (PPG) (DIS, current US$)","Central bank long-term debt are aggregated. The central bank is the financial institution (or institutions) that exercises control over key aspects of the financial system. The monetary authority, normally the agency that issues currency and holds the countrys international reserves. Disbursements are drawings by the borrower on loan commitments during the year specified. Long-term external debt is defined as debt that has an original or extended maturity of more than one year and that is owed to nonresidents by residents of an economy and repayable in currency, goods, or services. Data are in current U.S. dollars.",Economic Policy & Debt: External debt: Disbursements
DT.DIS.DEGG.CD,"Disbursements on external debt, general government sector (PPG) (DIS, current US$)","General government long-term debt are aggregated. Public debt is an external obligation of a public debtor, including the national government, a political subdivision (or an agency of either), and autonomous public bodies. Publicly guaranteed debt is an external obligation of a private debtor that is guaranteed for repayment by a public entity. Disbursements are drawings by the borrower on loan commitments during the year specified. Long-term external debt is defined as debt that has an original or extended maturity of more than one year and that is owed to nonresidents by residents of an economy and repayable in currency, goods, or services. Data are in current U.S. dollars.",Economic Policy & Debt: External debt: Disbursements
DT.DIS.DLXF.CD,"Disbursements on external debt, long-term (DIS, current US$)","Disbursements on long-term debt are drawings by the borrower on loan commitments during the year specified. Long-term external debt is defined as debt that has an original or extended maturity of more than one year and that is owed to nonresidents by residents of an economy and repayable in currency, goods, or services. Data are in current U.S. dollars.",Economic Policy & Debt: External debt: Disbursements
DT.DIS.DLTF.CD,"Disbursements on external debt, long-term + IMF (DIS, current US$)","Disbursements are drawings by the borrower on loan commitments during the year specified. This item includes disbursements on long-term debt and IMF purchases. Long-term external debt is defined as debt that has an original or extended maturity of more than one year and that is owed to nonresidents by residents of an economy and repayable in currency, goods, or services. IMF purchases are total drawings on the General Resources Account of the IMF during the year specified, excluding drawings in the reserve tranche. To maintain comparability between data on transactions with the IMF and data on long-term debt, use of IMF credit outstanding at the end of year (stock) is converted to dollars at the SDR exchange rate in effect at the end of year. Purchases are converted at the average SDR exchange rate for the year in which transactions take place. Data are in current U.S. dollars.",Economic Policy & Debt: External debt: Disbursements
DT.DIS.DOPS.CD,"Disbursements on external debt, other public sector (PPG) (DIS, current US$)","Other public sector long-term debt are aggregated. Public debt is an external obligation of a public debtor, including the national government, a political subdivision (or an agency of either), and autonomous public bodies. Publicly guaranteed debt is an external obligation of a private debtor that is guaranteed for repayment by a public entity. Disbursements are drawings by the borrower on loan commitments during the year specified. Long-term external debt is defined as debt that has an original or extended maturity of more than one year and that is owed to nonresidents by residents of an economy and repayable in currency, goods, or services. Data are in current U.S. dollars.",Economic Policy & Debt: External debt: Disbursements
DT.DIS.PRPG.CD,"Disbursements on external debt, private guaranteed by public sector (PPG) (DIS, current US$)","Private sector guaranteed by Public Sector long-term debt are aggregated. Public debt is an external obligation of a public debtor, including the national government, a political subdivision (or an agency of either), and autonomous public bodies. Publicly guaranteed debt is an external obligation of a private debtor that is guaranteed for repayment by a public entity. Disbursements are drawings by the borrower on loan commitments during the year specified. Long-term external debt is defined as debt that has an original or extended maturity of more than one year and that is owed to nonresidents by residents of an economy and repayable in currency, goods, or services. Data are in current U.S. dollars.",Economic Policy & Debt: External debt: Disbursements
DT.DIS.DPNG.CD,"Disbursements on external debt, private nonguaranteed (PNG) (DIS, current US$)","Private nonguaranteed external debt is an external obligation of a private debtor that is not guaranteed for repayment by a public entity. Disbursements are drawings by the borrower on loan commitments during the year specified. Long-term external debt is defined as debt that has an original or extended maturity of more than one year and that is owed to nonresidents by residents of an economy and repayable in currency, goods, or services. Data are in current U.S. dollars.",Economic Policy & Debt: External debt: Disbursements
DT.DIS.DPPG.CD,"Disbursements on external debt, public and publicly guaranteed (PPG) (DIS, current US$)","Public and publicly guaranteed long-term debt are aggregated. Public debt is an external obligation of a public debtor, including the national government, a political subdivision (or an agency of either), and autonomous public bodies. Publicly guaranteed debt is an external obligation of a private debtor that is guaranteed for repayment by a public entity. Disbursements are drawings by the borrower on loan commitments during the year specified. Long-term external debt is defined as debt that has an original or extended maturity of more than one year and that is owed to nonresidents by residents of an economy and repayable in currency, goods, or services. Data are in current U.S. dollars.",Economic Policy & Debt: External debt: Disbursements
DT.DIS.DEPS.CD,"Disbursements on external debt, public sector (PPG) (DIS, current US$)","Public sector long-term debt are aggregated. Public debt is an external obligation of a public debtor, including the national government, a political subdivision (or an agency of either), and autonomous public bodies. Publicly guaranteed debt is an external obligation of a private debtor that is guaranteed for repayment by a public entity. Disbursements are drawings by the borrower on loan commitments during the year specified. Long-term external debt is defined as debt that has an original or extended maturity of more than one year and that is owed to nonresidents by residents of an economy and repayable in currency, goods, or services. Data are in current U.S. dollars.",Economic Policy & Debt: External debt: Disbursements
DT.NFL.NEBR.CD,"EBRD, private nonguaranteed (NFL, current US$)",Nonguaranteed long-term debt privately placed from the European Bank for Reconstruction and Development (EBRD). Net flows (or net lending or net disbursements) received by the borrower during the year are disbursements minus principal repayments. Data are in current U.S. dollars.,Economic Policy & Debt: External debt: Net flows
BX.GSR.TOTL.CD,"Exports of goods, services and primary income (current US$)","Exports of goods, services and primary income is the sum of goods (merchandise) exports, exports of (nonfactor) services and income (factor) receipts. Data are in current U.S. dollars.","Economic Policy & Debt: Balance of payments: Current account: Goods, services & income"
DT.DOD.DECT.EX.ZS,"External debt stocks (% of exports of goods, services and primary income)","Total external debt stocks to exports of goods, services and primary income.",Economic Policy & Debt: External debt: Debt ratios & other items
DT.DOD.DECT.GN.ZS,External debt stocks (% of GNI),Total external debt stocks to gross national income.,Economic Policy & Debt: External debt: Debt ratios & other items
DT.DOD.DECB.CD,"External debt stocks, central bank (PPG) (DOD, current US$)","Central Bank debt position at end of the reference period.  The central bank is the financial institution (or institutions) that exercises control over key aspects of the financial system. The monetary authority, normally the agency that issues currency and holds the countrys international reserves. Data are in current U.S. dollars.",Economic Policy & Debt: External debt: Debt outstanding
DT.DOD.ALLC.CD,"External debt stocks, concessional (DOD, current US$)","Concessional external debt conveys information about the borrower's receipt of aid from official lenders at concessional terms as defined by the Development Assistance Committee (DAC) of the OECD. Concessional debt is defined as loans with an original grant element of 35 percent or more. The grant element of a loan is the grant equivalent expressed as a percentage of the amount committed. It is used as a measure of the overall cost of borrowing. The grant equivalent of a loan is its commitment (present) value, less the discounted present value of its contractual debt service; conventionally, future service payments are discounted at 5 percent. Loans from major regional development banks--African Development Bank, Asian Development Bank, and the Inter-American Development Bank--and from the World Bank are classified as concessional according to each institution's classification and not according to the DAC definition, as was the practice in earlier reports. Long-term debt outstanding and disbursed is the total outstanding long-term debt at year end. Long-term external debt is defined as debt that has an original or extended maturity of more than one year and that is owed to nonresidents and repayable in currency, goods, or services. Data are in current U.S. dollars.",Economic Policy & Debt: External debt: Debt outstanding
DT.DOD.DEGG.CD,"External debt stocks, general government sector (PPG) (DOD, current US$)","General Government Sector comprises long-term external obligations of public debtors, including the national government of all levels, and political subdivisions (or an agency of either).   Data are in current U.S. dollars.",Economic Policy & Debt: External debt: Debt outstanding
DT.DOD.DLXF.CD,"External debt stocks, long-term (DOD, current US$)","Long-term debt is debt that has an original or extended maturity of more than one year. It has three components: public, publicly guaranteed, and private nonguaranteed debt. Data are in current U.S. dollars.",Economic Policy & Debt: External debt: Debt outstanding
DT.DOD.PRVS.CD,"External debt stocks, long-term private sector (DOD, current US$)","Long-term private sector external debt conveys information about the distribution of long-term debt for DRS countries by type of debtor (private banks and private entities). Long-term external debt is defined as debt that has an original or extended maturity of more than one year and that is owed to nonresidents by residents of an economy and repayable in currency, goods, or services. Data are in current U.S. dollars.",Economic Policy & Debt: External debt: Debt outstanding
DT.DOD.PUBS.CD,"External debt stocks, long-term public sector (DOD, current US$)","Long-term public sector external debt conveys information about the distribution of long-term debt for DRS countries by type of debtor (central government, state and local government, central bank, public and mixed enterprises, and official development banks). Long-term external debt is defined as debt that has an original or extended maturity of more than one year and that is owed to nonresidents by residents of an economy and repayable in currency, goods, or services. Data are in current U.S. dollars.",Economic Policy & Debt: External debt: Debt outstanding
DT.DOD.DOPS.CD,"External debt stocks, other public sector (PPG) (DOD, current US$)","Other Public Sector debt comprises long-term external obligations of public debtors, excluding general government. Data are in current U.S. dollars.",Economic Policy & Debt: External debt: Debt outstanding
DT.DOD.PRPG.CD,"External debt stocks, private guaranteed by public sector (PPG) (DOD, current US$)",Private sector guaranteed by Public Sector debt comprises external obligations of private debtors that are guaranteed for repayment by a public entity. Data are in current U.S. dollars.,Economic Policy & Debt: External debt: Debt outstanding
DT.DOD.DPNG.CD,"External debt stocks, private nonguaranteed (PNG) (DOD, current US$)",Private nonguaranteed external debt comprises long-term external obligations of private debtors that are not guaranteed for repayment by a public entity. Data are in current U.S. dollars.,Economic Policy & Debt: External debt: Debt outstanding
DT.DOD.DPPG.CD,"External debt stocks, public and publicly guaranteed (PPG) (DOD, current US$)","Public and publicly guaranteed debt comprises long-term external obligations of public debtors, including the national government,  Public Corporations, State Owned Enterprises, Development Banks and Other Mixed Enterprises, political subdivisions (or an agency of either), autonomous public bodies, and external obligations of private debtors that are guaranteed for repayment by a public entity. Data are in current U.S. dollars.",Economic Policy & Debt: External debt: Debt outstanding
DT.DOD.DEPS.CD,"External debt stocks, public sector (PPG) (DOD, current US$)","Public sector debt comprises long-term external obligations of public debtors, including the national government of all levels, political subdivisions (or an agency of either), autonomous public bodies such as Public Corporations, State Owned Enterprises, Development Banks and Other Mixed Enterprises. Data are in current U.S. dollars.",Economic Policy & Debt: External debt: Debt outstanding
DT.DOD.DSTC.CD,"External debt stocks, short-term (DOD, current US$)",Short-term external debt is defined as debt that has an original maturity of one year or less. Available data permit no distinction between public and private nonguaranteed short-term debt. Data are in current U.S. dollars.,Economic Policy & Debt: External debt: Debt outstanding
DT.DOD.DECT.CD,"External debt stocks, total (DOD, current US$)","Total external debt is debt owed to nonresidents repayable in currency, goods, or services. It is the sum of public, publicly guaranteed, and private nonguaranteed long-term debt, short-term debt, and use of IMF credit. Data are in current U.S. dollars.",Economic Policy & Debt: External debt: Debt outstanding
DT.DOD.VTOT.CD,"External debt stocks, variable rate (DOD, current US$)","Debt stock contracted at variable interest rate for long-term external debt with interest rates that float with movements in a key market rate; for example, the Secured Overnight Financing Rate (SOFR) or the Euribor.  This item conveys information about the borrower's exposure to changes in international interest rates. Long-term external debt is defined as debt that has an original or extended maturity of more than one year and that is owed to nonresidents by residents of an economy and repayable in currency, goods, or services. Data are in current U.S. dollars.",Economic Policy & Debt: External debt: Debt outstanding
DT.DOD.VPPG.CD,"External debt stocks, variable rate public and publicly guaranteed debt (PPG) (DOD, current US$)","Debt stock contracted at variable interest rate for public and publicly guaranteed long-term external debt with interest rates that float with movements in a key market rate; for example, the Secured Overnight Financing Rate (SOFR) or the Euribor. This item conveys information about the borrower's exposure to changes in international interest rates. Public and publicly guaranteed long-term long-term external debt is defined as debt that has an original or extended maturity of more than one year and that is owed to nonresidents by residents of an economy and repayable in currency, goods, or services. Data are in current U.S. dollars.",Economic Policy & Debt: External debt: Debt outstanding
BX.KLT.DINV.CD.DT,"Foreign direct investment, net inflows in reporting economy (DRS, current US$)","Foreign direct investment is net inflows of investment to acquire a lasting interest in or management control over an enterprise operating in an economy other than that of the investor. It is the sum of equity capital, reinvested earnings, other long-term capital, and short-term capital, as shown in the balance of payments. Data are in current U.S. dollars.",Economic Policy & Debt: Balance of payments: Capital & financial account
DT.AMT.BLAT.GG.CD,"GG, bilateral (AMT, current US$)","General government bilateral debt includes loans from governments and their agencies (including central banks), loans from autonomous bodies, and direct loans from official export credit agencies. Principal repayments are actual amounts of principal (amortization) paid by the borrower in currency, goods, or services in the year specified. Data are in current U.S. dollars.",Economic Policy & Debt: External debt: Amortization
DT.DIS.BLAT.GG.CD,"GG, bilateral (DIS, current US$)","General government bilateral debt includes loans from governments and their agencies (including central banks), loans from autonomous bodies, and direct loans from official export credit agencies. Disbursements are drawings by the borrower on loan commitments during the year specified. Data are in current U.S. dollars.",Economic Policy & Debt: External debt: Disbursements
DT.DOD.BLAT.GG.CD,"GG, bilateral (DOD, current US$)","General Government bilateral debt includes loans from governments and their agencies (including central banks), loans from autonomous bodies, and direct loans from official export credit agencies. Data are in current U.S. dollars.",Economic Policy & Debt: External debt: Debt outstanding
DT.INT.BLAT.GG.CD,"GG, bilateral (INT, current US$)","General government bilateral debt includes loans from governments and their agencies (including central banks), loans from autonomous bodies, and direct loans from official export credit agencies. Interest payments are actual amounts of interest paid by the borrower in currency, goods, or services in the year specified. Data are in current U.S. dollars.",Economic Policy & Debt: External debt: Interest
DT.NFL.BLAT.GG.CD,"GG, bilateral (NFL, current US$)","General government bilateral debt includes loans from governments and their agencies (including central banks), loans from autonomous bodies, and direct loans from official export credit agencies.  Data are in current U.S. dollars.",Economic Policy & Debt: External debt: Net flows
DT.NTR.BLAT.GG.CD,"GG, bilateral (NTR, current US$)","General government bilateral debt includes loans from governments and their agencies (including central banks), loans from autonomous bodies, and direct loans from official export credit agencies. Net transfers are net flows minus interest payments during the year; negative transfers show net transfers made by the borrower to the creditor during the year. Data are in current U.S. dollars.",Economic Policy & Debt: External debt: Net transfers
DT.TDS.BLAT.GG.CD,"GG, bilateral (TDS, current US$)","General government debt includes loans from governments and their agencies (including central banks), loans from autonomous bodies, and direct loans from official export credit agencies. Debt service payments are the sum of principal repayments and interest payments actually made in the year specified. Data are in current U.S. dollars.",Economic Policy & Debt: External debt: Debt service
DT.AMT.BLTC.GG.CD,"GG, bilateral concessional (AMT, current US$)","General goverment bilateral debt includes loans from governments and their agencies (including central banks), loans from autonomous bodies, and direct loans from official export credit agencies. Concessional debt is defined as loans with an original grant element of 35 percent or more. The grant element of a loan is the grant equivalent expressed as a percentage of the amount committed. It is used as a measure of the overall cost of borrowing. The grant equivalent of a loan is its commitment (present) value, less the discounted present value of its contractual debt service; conventionally, future service payments are discounted at 5 percent. Principal repayments are actual amounts of principal (amortization) paid by the borrower in currency, goods, or services in the year specified. Data are in current U.S. dollars.",Economic Policy & Debt: External debt: Amortization
DT.DIS.BLTC.GG.CD,"GG, bilateral concessional (DIS, current US$)","General government bilateral debt includes loans from governments and their agencies (including central banks), loans from autonomous bodies, and direct loans from official export credit agencies. Concessional debt is defined as loans with an original grant element of 35 percent or more. The grant element of a loan is the grant equivalent expressed as a percentage of the amount committed. It is used as a measure of the overall cost of borrowing. The grant equivalent of a loan is its commitment (present) value, less the discounted present value of its contractual debt service; conventionally, future service payments are discounted at 5 percent. Disbursements are drawings by the borrower on loan commitments during the year specified. Data are in current U.S. dollars.",Economic Policy & Debt: External debt: Disbursements
DT.DOD.BLTC.GG.CD,"GG, bilateral concessional (DOD, current US$)","General government bilateral debt includes loans from governments and their agencies (including central banks), loans from autonomous bodies, and direct loans from official export credit agencies. Concessional debt is defined as loans with an original grant element of 35 percent or more. The grant element of a loan is the grant equivalent expressed as a percentage of the amount committed. It is used as a measure of the overall cost of borrowing. The grant equivalent of a loan is its commitment (present) value, less the discounted present value of its contractual debt service; conventionally, future service payments are discounted at 5 percent. Principal repayments are actual amounts of principal (amortization) paid by the borrower in currency, goods, or services in the year specified. Data are in current U.S. dollars.",Economic Policy & Debt: External debt: Debt outstanding
DT.INT.BLTC.GG.CD,"GG, bilateral concessional (INT, current US$)","General government bilateral debt includes loans from governments and their agencies (including central banks), loans from autonomous bodies, and direct loans from official export credit agencies. Concessional debt is defined as loans with an original grant element of 35 percent or more. The grant element of a loan is the grant equivalent expressed as a percentage of the amount committed. It is used as a measure of the overall cost of borrowing. The grant equivalent of a loan is its commitment (present) value, less the discounted present value of its contractual debt service; conventionally, future service payments are discounted at 5 percent. Interest payments are actual amounts of interest paid by the borrower in currency, goods, or services in the year specified. Data are in current U.S. dollars.",Economic Policy & Debt: External debt: Interest
DT.NFL.BLTC.GG.CD,"GG, bilateral concessional (NFL, current US$)","General government bilateral debt includes loans from governments and their agencies (including central banks), loans from autonomous bodies, and direct loans from official export credit agencies. Concessional debt is defined as loans with an original grant element of 35 percent or more. The grant element of a loan is the grant equivalent expressed as a percentage of the amount committed. It is used as a measure of the overall cost of borrowing. The grant equivalent of a loan is its commitment (present) value, less the discounted present value of its contractual debt service; conventionally, future service payments are discounted at 5 percent. Net flows (or net lending or net disbursements) received by the borrower during the year are disbursements minus principal repayments. Data are in current U.S. dollars.",Economic Policy & Debt: External debt: Net flows
DT.NTR.BLTC.GG.CD,"GG, bilateral concessional (NTR, current US$)","General government bilateral debt includes loans from governments and their agencies (including central banks), loans from autonomous bodies, and direct loans from official export credit agencies. Concessional debt is defined as loans with an original grant element of 35 percent or more. The grant element of a loan is the grant equivalent expressed as a percentage of the amount committed. It is used as a measure of the overall cost of borrowing. The grant equivalent of a loan is its commitment (present) value, less the discounted present value of its contractual debt service; conventionally, future service payments are discounted at 5 percent. Net transfers are net flows minus interest payments during the year; negative transfers show net transfers made by the borrower to the creditor during the year. Data are in current U.S. dollars.",Economic Policy & Debt: External debt: Net transfers
DT.TDS.BLTC.GG.CD,"GG, bilateral concessional (TDS, current US$)","General government bilateral debt includes loans from governments and their agencies (including central banks), loans from autonomous bodies, and direct loans from official export credit agencies. Concessional debt is defined as loans with an original grant element of 35 percent or more. The grant element of a loan is the grant equivalent expressed as a percentage of the amount committed. It is used as a measure of the overall cost of borrowing. The grant equivalent of a loan is its commitment (present) value, less the discounted present value of its contractual debt service; conventionally, future service payments are discounted at 5 percent. Debt service payments are the sum of principal repayments and interest payments actually made in the year specified. Data are in current U.S. dollars.",Economic Policy & Debt: External debt: Debt service
DT.AMT.PBND.GG.CD,"GG, bonds (AMT, current US$)","General government debt from bonds that are either publicly issued or privately placed. Principal repayments are actual amounts of principal (amortization) paid by the borrower in currency, goods, or services in the year specified. Data are in current U.S. dollars.",Economic Policy & Debt: External debt: Amortization
DT.DIS.PBND.GG.CD,"GG, bonds (DIS, current US$)",General government debt from bonds that are either publicly issued or privately placed. Disbursements are drawings by the borrower on loan commitments during the year specified. Data are in current U.S. dollars.,Economic Policy & Debt: External debt: Disbursements
DT.DOD.PBND.GG.CD,"GG, bonds (DOD, current US$)",General government  debt from bonds that are either publicly issued or privately placed. Data are in current U.S. dollars.,Economic Policy & Debt: External debt: Debt outstanding
DT.INT.PBND.GG.CD,"GG, bonds (INT, current US$)","General government  debt from bonds that are either publicly issued or privately placed. Interest payments are actual amounts of interest paid by the borrower in currency, goods, or services in the year specified. Data are in current U.S. dollars.",Economic Policy & Debt: External debt: Interest
DT.NFL.PBND.GG.CD,"GG, bonds (NFL, current US$)",General government debt from bonds that are either publicly issued or privately placed. Net flows (or net lending or net disbursements) received by the borrower during the year are disbursements minus principal repayments. Data are in current U.S. dollars.,Economic Policy & Debt: External debt: Net flows
DT.NTR.PBND.GG.CD,"GG, bonds (NTR, current US$)",General government debt from bonds that are either publicly issued or privately placed. Net transfers are net flows minus interest payments during the year; negative transfers show net transfers made by the borrower to the creditor during the year. Data are in current U.S. dollars.,Economic Policy & Debt: External debt: Net transfers
DT.TDS.PBND.GG.CD,"GG, bonds (TDS, current US$)",General government  debt from bonds that are either publicly issued or privately placed. Debt service payments are the sum of principal repayments and interest payments actually made in the year specified. Data are in current U.S. dollars.,Economic Policy & Debt: External debt: Debt service
DT.AMT.PCBK.GG.CD,"GG, commercial banks (AMT, current US$)","General government commercial bank loans from private banks and other private financial institutions. Principal repayments are actual amounts of principal (amortization) paid by the borrower in currency, goods, or services in the year specified. Data are in current U.S. dollars.",Economic Policy & Debt: External debt: Amortization
DT.DIS.PCBK.GG.CD,"GG, commercial banks (DIS, current US$)",General government commercial bank loans from private banks and other private financial institutions. Disbursements are drawings by the borrower on loan commitments during the year specified. Data are in current U.S. dollars.,Economic Policy & Debt: External debt: Disbursements
DT.DOD.PCBK.GG.CD,"GG, commercial banks (DOD, current US$)",General government  commercial bank loans from private banks and other private financial institutions. Data are in current U.S. dollars.,Economic Policy & Debt: External debt: Debt outstanding
DT.INT.PCBK.GG.CD,"GG, commercial banks (INT, current US$)","General government commercial bank loans from private banks and other private financial institutions. Interest payments are actual amounts of interest paid by the borrower in currency, goods, or services in the year specified. Data are in current U.S. dollars.",Economic Policy & Debt: External debt: Interest
DT.NFL.PCBK.GG.CD,"GG, commercial banks (NFL, current US$)",General government commercial bank loans from private banks and other private financial institutions. Net flows (or net lending or net disbursements) received by the borrower during the year are disbursements minus principal repayments. Data are in current U.S. dollars.,Economic Policy & Debt: External debt: Net flows
